canción_nombre,cantante_nombre,año_publicación,genero,album_nombre
Future Echoes,Cosmic Voyager,2026,Synthwave,Echoes of Tomorrow
Velvet Sky,The Luna Suns,2026,Dream Pop,Celestial Drift
Digital Pulse,Quantum Theory,2025,Techno,Circuit Breakers
Stardust Dreams,Nebula Wave,2026,Electronic,Astral Plains
Neon Horizon,Cyber Funksters,2025,Funk-tronica,Retro-Future
Glimmer,Aurora Lights,2026,Indie Pop,Shimmering Seas
Quantum Leap,Binary Stars,2026,Progressive Rock,The Singularity
Solar Flare,Helios Rising,2025,Experimental,Star Seeds
Vortex Echo,Wormhole Travelers,2026,Ambient,Temporal Drift
Galaxy Grooves,The Space Cadets,2025,Disco House,Milky Way
Electric Heartbeat,Synapse,2026,Eletro-Swing,The Hive
Timeless,Echo Valley,2026,Acoustic,The Quiet Earth
Chroma Soul,Prismatics,2025,R&B Soul,Rainbow Bridge
Void Runner,The Null Point,2026,Drum and Bass,Into the Abyss
Parallel Reality,Multiverse,2025,Post-Rock,The Great Beyond
The Last Broadcast,Final Signal,2026,Industrial,Terminal Velocity
Lunar Solstice,Moon Gazers,2025,Shoegaze,Tidal Forces
Hyperdrive,Warp Speeders,2026,Cyberpunk,Fast-Forward
Distant Planets,Interstellar Beats,2025,Deep House,Orbital Tracks
Gravity Waves,Black Hole,2026,Minimal,Events Horizon
Starlight Safari,The Astrocats,2026,Future Bass,Galactic Beats
Cosmic Tapestry,Nebulae Weaver,2025,Chillwave,Astral Garden
Orion's Belt,The Hunters,2026,Metal-tronica,Constellation Wars
Intergalactic Echo,Space Oddity,2026,Space Rock,Cosmic Odyssey
Pulsar Party,Neutron Star,2025,EDM,Star Clusters
Synaptic Pulse,Neural Network,2026,Breakbeat,Brain Waves
The Singularity,Quantum Theory,2025,Ambient Tech,Circuit Breakers
Temporal Shift,Chronos,2026,Time Pop,Eternity
Deep Space Soul,Nebula Soul,2026,Jazztronica,Stellar Grooves
Binary Beats,Data Stream,2025,Glitch Hop,The Network
Celestial Symphony,Orchestra Cosmos,2026,Classical Crossover,Universal Harmony
Void Walker,The Null Point,2026,Ethereal,Into the Abyss
Cosmic Carnival,Space Clowns,2025,Electro-Circus,The Big Bang
Interstellar Groove,Galactic Funk,2026,Funk,Star Funk
Nebula Nova,Aurora,2025,Pop,Stellar Lights
Hyperloop,Future Transit,2026,Techno,High Speed
Digital Drift,Cyberpunked,2026,Synthwave,Digital Age
Cosmic Cruise,Space Travelers,2025,Deep House,Galaxy Journey
The Martian Wave,Rorschach,2026,Abstract,Red Planet
Galaxy Garden,Botanist,2026,Ambient,Green Galaxy
Stargazer,The Moonwalks,2025,Indie,Night Sky
Plasma Pulse,Solar Plexus,2026,Electronic,Solar System
Binary Star,Nova,2026,Progressive,Stellar Rise
Void Voyager,The Null Point,2026,Deep Tech,Into the Abyss
Gravitational Pull,Black Hole,2026,Dub,Event Horizon
Solar Wind,Helios,2025,New Age,Star Journey
Lunar Lullaby,Cynthia,2026,Chillout,Moon Tunes
Cosmic Collision,The Asteroids,2026,Hardcore,Impact Zone
Space Jam,Galactic Grooves,2025,Hip Hop,Groove Space
Nova Spark,The Pulsars,2026,Trance,Stellar Flash
